"FLAG", "DESCRIPTION", "DEFAULT"
"``-t``, ``--true-color``", "Use of RGB values for the color escape sequences.", "``False``"
"``-s``, ``--sep``", "Specify what to use, to separate string arguments.", "``' '``"
"``-e``, ``--end``", "Specify what to use at the end of the printed string.", "``'\n'``"
"``-o``, ``--output-file``", "Append obtained string to a file (stream).", "``sys.stdout``"
"``-O``, ``--overflow``", "Make color codes overflow to other strings.", "``False``"
"``-I``, ``--ignore-special``", "Ignore special characters (new line, tab, etc.).", "``False``"
"``-S``, ``--strip``", "Remove leading and trailing characters from input file(s).", "``None``"
"``-p``, ``--position``", "Place all strings after the nth input file.", "``0``"
"``-h``, ``--help``", "Show a help menu and exit."
"``-c``, ``--codes``", "Show the list of color codes and exit."
"``-v``, ``--version``", "Show the current version of the module and exit."
